"employees","salary_2017","salary_adjustments","salary_2018","got_raise"
"Employee 1",44724.7777413577,515.096368268132,45239.8741096258,TRUE
"Employee 2",40175.4987728782,-4532.51724457368,35642.9815283045,FALSE
"Employee 3",49168.156303931,-61.500545591116,49106.6557583399,FALSE
"Employee 4",42660.6538007036,-485.135514754802,42175.5182859488,FALSE
"Employee 5",47677.4231623858,-2930.75036210939,44746.6728002764,FALSE
"Employee 6",42028.4603722394,-1186.61411339417,40841.8462588452,FALSE
"Employee 7",43736.5575134754,-846.324177924544,42890.2333355509,FALSE
"Employee 8",48467.9454308935,-4886.24633103609,43581.6990998574,FALSE
"Employee 9",48387.7399144694,-3560.56466372684,44827.1752507426,FALSE
"Employee 10",48310.0066124462,-588.139261584729,47721.8673508614,FALSE
"Employee 11",47852.4740645662,-341.912932228297,47510.5611323379,FALSE
"Employee 12",46203.905264847,-3986.24462448061,42217.6606403664,FALSE
"Employee 13",46964.3041980453,-4661.41105163842,42302.8931464069,FALSE
"Employee 14",46540.6803670339,-2470.37577349693,44070.304593537,FALSE
"Employee 15",45591.2450444885,-3157.03132003546,42434.213724453,FALSE
"Employee 16",46912.0943895541,-3569.08151693642,43343.0128726177,FALSE
"Employee 17",43853.1323731877,-3787.39971015602,40065.7326630317,FALSE
"Employee 18",44964.9807880633,-2178.82014811039,42786.1606399529,FALSE
"Employee 19",49584.2082612216,-96.8094188719988,49487.3988423496,FALSE
"Employee 20",48093.4656667523,-1515.18969098106,46578.2759757712,FALSE
"Employee 21",40540.2484233491,-1602.38048434258,38937.8679390065,FALSE
"Employee 22",47346.2858167477,-1466.00255277008,45880.2832639776,FALSE
"Employee 23",42541.4233724587,-3871.59743206576,38669.8259403929,FALSE
"Employee 24",49726.860683877,-822.240793611854,48904.6198902652,FALSE
"Employee 25",45084.2980877496,-3229.54649617895,41854.7515915707,FALSE
"Employee 26",43437.1933480725,957.749692723155,44394.9430407956,TRUE
"Employee 27",48646.0033780895,-3072.15129304677,45573.8520850427,FALSE
"Employee 28",49516.1862461828,-199.68033907935,49316.5059071034,FALSE
"Employee 29",42676.2527902611,-4816.46692566574,37859.7858645953,FALSE
"Employee 30",48248.1571100652,577.33602123335,48825.4931312986,TRUE
"Employee 31",43880.1303412765,-4787.0688168332,39093.0615244433,FALSE
"Employee 32",46672.7482806891,-629.884644411504,46042.8636362776,FALSE
"Employee 33",47485.9743774869,774.282420519739,48260.2567980066,TRUE
"Employee 34",47463.9088753611,-52.6686124503613,47411.2402629107,FALSE
"Employee 35",40514.0502285212,25.5205016583204,40539.5707301795,TRUE
"Employee 36",41263.2821011357,-2275.0689778477,38988.213123288,FALSE
"Employee 37",47726.8006000668,729.048263281584,48455.8488633484,TRUE
"Employee 38",40683.9355453849,-4372.04845063388,36311.887094751,FALSE
"Employee 39",40668.551067356,-4608.12071897089,36060.4303483851,FALSE
"Employee 40",46901.2723164633,-4266.543766018,42634.7285504453,FALSE
"Employee 41",40087.9518315196,-1609.27091306075,38478.6809184588,FALSE
"Employee 42",44025.2274158411,448.196090757847,44473.4235065989,TRUE
"Employee 43",42698.8882338628,-4997.06863472238,37701.8195991404,FALSE
"Employee 44",47628.2027852722,-1876.94224249572,45751.2605427764,FALSE
"Employee 45",43277.9863383621,-4749.85970184207,38528.12663652,FALSE
"Employee 46",45010.821709875,-1950.00076293945,43060.8209469356,FALSE
"Employee 47",40514.0563449822,-1073.2907881029,39440.7655568793,FALSE
"Employee 48",44786.8705051951,-1225.85527133197,43561.0152338631,FALSE
"Employee 49",41604.4111154042,-3658.95376633853,37945.4573490657,FALSE
